award_id,agency,firm_name,firm_state,award_amount,award_date,award_year,phase,topic_code,primary_cet,primary_score,classification,supporting_cet_1,supporting_score_1,supporting_cet_2,supporting_score_2,text_length,has_abstract,has_solicitation
R43EY036753,HHS,HUMAN CELL CO,IL,360897.0,2024-09-30,2024,Other,NEI,biotechnology,51.19254110700039,Medium,medical_devices,31.96569424379751,artificial_intelligence,12.83928226459525,2702,True,True
R44EY036778,HHS,"SILOAM VISION, INC.",OR,881796.0,2024-09-30,2024,Other,NEI,medical_devices,47.733627191821235,Medium,artificial_intelligence,24.22211372232703,biotechnology,22.142225204574203,3287,True,True
R44DA061722,HHS,SERODOPA THERAPEUTICS INC,FL,1539426.0,2024-09-30,2024,Other,NIDA,medical_devices,50.827466348809644,Medium,biotechnology,33.50208730759363,artificial_intelligence,11.899522155992763,2769,True,True
R43EY036298,HHS,HUMAN CELL CO,IL,365000.0,2024-09-30,2024,Other,NEI,biotechnology,43.54738714539296,Medium,medical_devices,39.99147477337841,artificial_intelligence,12.421829523711878,3073,True,True
R43GM153742,HHS,"Zeteo Tech, Inc.",MD,271495.0,2024-09-30,2024,Other,400,biotechnology,55.363187846679786,Medium,medical_devices,21.881951619796332,artificial_intelligence,17.78487624367551,1681,True,True
R44EY033264,HHS,"Hillhurst Biopharmaceuticals, Inc.",CA,950200.0,2024-09-30,2024,Other,NEI,medical_devices,49.83693000650881,Medium,biotechnology,34.04707384035822,artificial_intelligence,11.187536286657597,3401,True,True
R44EY035584,HHS,"REVOPSIS THERAPEUTICS, INC.",IL,933533.0,2024-09-30,2024,Other,NEI,biotechnology,48.111023168307234,Medium,medical_devices,36.75600430872151,artificial_intelligence,11.121483928689004,3324,True,True
R44AG085775,HHS,"VIROGENICS, INC.",CA,2432649.0,2024-09-30,2024,Other,NIA,medical_devices,46.984832320361804,Medium,biotechnology,36.55174764670701,artificial_intelligence,12.35037431392777,2670,True,True
R44EY034410,HHS,PRAEVIUM RESEARCH INC,CA,774486.0,2024-09-30,2024,Other,100,medical_devices,44.49081968927718,Medium,biotechnology,28.207661728906718,artificial_intelligence,21.84001137247636,3229,True,True
R44EY036301,HHS,OPUS GENETICS INC.,NC,882971.0,2024-09-30,2024,Other,NEI,biotechnology,51.857150327266666,Medium,medical_devices,32.71637601266074,artificial_intelligence,10.909983578191083,3320,True,True
